fips,pollutant,year,pred_wght,state_abbr,lat,lon
01001,pm25,2017,7.387266392652793,AL,32.5003834362574,-86.4941863095784
01001,so2,2017,0.7838278229035781,AL,32.5003834362574,-86.4941863095784
01001,o3,2017,36.880532840900386,AL,32.5003834362574,-86.4941863095784
01001,no2,2017,2.855400015259436,AL,32.5003834362574,-86.4941863095784
01003,so2,2017,0.46837927227984266,AL,30.5489234597975,-87.7624661267934
01003,pm25,2017,7.078724015302972,AL,30.5489234597975,-87.7624661267934
01003,no2,2017,2.055964066800272,AL,30.5489234597975,-87.7624661267934
01003,o3,2017,38.310347278107876,AL,30.5489234597975,-87.7624661267934
01005,so2,2017,0.8417287792066034,AL,31.844037170849,-85.3099291036894
01005,pm25,2017,7.6074238718550715,AL,31.844037170849,-85.3099291036894
01005,no2,2017,1.6625095293945524,AL,31.844037170849,-85.3099291036894
01005,o3,2017,35.89706329945867,AL,31.844037170849,-85.3099291036894
01007,so2,2017,0.8391836419446742,AL,33.0309175081824,-87.1276552171067
01007,o3,2017,36.60028284698719,AL,33.0309175081824,-87.1276552171067
01007,pm25,2017,7.519188031003565,AL,33.0309175081824,-87.1276552171067
01007,no2,2017,1.7168116202443107,AL,33.0309175081824,-87.1276552171067
01009,so2,2017,0.711795944617897,AL,33.9552458863961,-86.5914017358082
01009,pm25,2017,7.5952940653816485,AL,33.9552458863961,-86.5914017358082
01009,o3,2017,39.77987751420074,AL,33.9552458863961,-86.5914017358082
01009,no2,2017,2.0327421358977227,AL,33.9552458863961,-86.5914017358082
01011,pm25,2017,7.18154597931975,AL,32.1163263239875,-85.7012016767455
01011,so2,2017,0.9482300625614359,AL,32.1163263239875,-85.7012016767455
01011,no2,2017,1.4814940618292056,AL,32.1163263239875,-85.7012016767455
01011,o3,2017,36.324738217470944,AL,32.1163263239875,-85.7012016767455
01013,no2,2017,2.0927255947338037,AL,31.7735384255502,-86.6535113381391
01013,pm25,2017,7.322023671669877,AL,31.7735384255502,-86.6535113381391
01013,so2,2017,0.7760406228808799,AL,31.7735384255502,-86.6535113381391
01013,o3,2017,36.29609870039392,AL,31.7735384255502,-86.6535113381391
01015,o3,2017,38.997918300112836,AL,33.7254592289917,-85.8194041156428
01015,pm25,2017,8.062153165117572,AL,33.7254592289917,-85.8194041156428
01015,no2,2017,2.732616715165399,AL,33.7254592289917,-85.8194041156428
01015,so2,2017,0.9048963940847476,AL,33.7254592289917,-85.8194041156428
01017,so2,2017,0.7636914989402666,AL,32.8604373549613,-85.2665193131667
01017,o3,2017,38.55072312494021,AL,32.8604373549613,-85.2665193131667
01017,no2,2017,2.503244493292963,AL,32.8604373549613,-85.2665193131667
01017,pm25,2017,8.274092180461706,AL,32.8604373549613,-85.2665193131667
01019,so2,2017,0.658570338715619,AL,34.1793328177306,-85.6291974873985
01019,no2,2017,2.043769338710486,AL,34.1793328177306,-85.6291974873985
01019,o3,2017,40.150078181460756,AL,34.1793328177306,-85.6291974873985
01019,pm25,2017,7.2823657752310424,AL,34.1793328177306,-85.6291974873985
01021,so2,2017,0.7599341938369515,AL,32.8775458813555,-86.6874431684348
01021,o3,2017,37.07261239879954,AL,32.8775458813555,-86.6874431684348
01021,pm25,2017,7.672972464400559,AL,32.8775458813555,-86.6874431684348
01021,no2,2017,2.4050931939381996,AL,32.8775458813555,-86.6874431684348
01023,no2,2017,1.0540801965438311,AL,32.0165601991486,-88.2640986867739
01023,o3,2017,34.50529579993448,AL,32.0165601991486,-88.2640986867739
01023,pm25,2017,6.355331495687929,AL,32.0165601991486,-88.2640986867739
01023,so2,2017,0.8880358345548958,AL,32.0165601991486,-88.2640986867739
01025,pm25,2017,6.254310991731982,AL,31.6856855688461,-87.8156289900515
01025,o3,2017,35.532798421096444,AL,31.6856855688461,-87.8156289900515
01025,so2,2017,0.7617308102706001,AL,31.6856855688461,-87.8156289900515
01025,no2,2017,1.1455241243795937,AL,31.6856855688461,-87.8156289900515
01027,no2,2017,1.4162026374909276,AL,33.2724118647717,-85.8201634366925
01027,so2,2017,0.7111830780849833,AL,33.2724118647717,-85.8201634366925
01027,o3,2017,38.716307818938546,AL,33.2724118647717,-85.8201634366925
01027,pm25,2017,7.460740892885274,AL,33.2724118647717,-85.8201634366925
01029,so2,2017,0.5969985152767501,AL,33.6297725687951,-85.4943021172856
01029,pm25,2017,7.749536332366784,AL,33.6297725687951,-85.4943021172856
01029,no2,2017,2.2025008810276843,AL,33.6297725687951,-85.4943021172856
01029,o3,2017,39.09216469421929,AL,33.6297725687951,-85.4943021172856
01031,so2,2017,0.7569327699981028,AL,31.3544328281413,-85.9047387563066
01031,pm25,2017,7.375727475947046,AL,31.3544328281413,-85.9047387563066
01031,no2,2017,1.8574201702218378,AL,31.3544328281413,-85.9047387563066
01031,o3,2017,35.1177049942947,AL,31.3544328281413,-85.9047387563066
01033,so2,2017,0.9428384170798673,AL,34.723386742118,-87.6851492430367
01033,no2,2017,2.8833026670560815,AL,34.723386742118,-87.6851492430367
01033,o3,2017,38.84143103045348,AL,34.723386742118,-87.6851492430367
01033,pm25,2017,7.870134373686719,AL,34.723386742118,-87.6851492430367
01035,so2,2017,0.7868186456231547,AL,31.4186742062292,-86.9964653008769
01035,pm25,2017,6.888071472553928,AL,31.4186742062292,-86.9964653008769
01035,o3,2017,36.340826981949725,AL,31.4186742062292,-86.9964653008769
01035,no2,2017,1.8589439078576744,AL,31.4186742062292,-86.9964653008769
01037,so2,2017,0.5732478141553135,AL,32.9759307825635,-86.1550470838028
